segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
SMALL_MULTI,2023Q3,borough,numeric,segment,12393,247,0.0,0.0,0.0040679537257691445,0.04127672961522294,,,ok
SMALL_MULTI,2023Q3,building_age,numeric,segment,12393,247,0.0,0.0,0.07235305113921077,0.07251056901326364,,,ok
SMALL_MULTI,2023Q3,building_class,categorical,segment,12393,247,0.0,0.0,,,0.06864492852338283,0.0,ok
SMALL_MULTI,2023Q3,distance_to_center_km,numeric,segment,12393,247,0.0,0.0,0.07015691026158798,0.06213021520899065,,,ok
SMALL_MULTI,2023Q3,gross_square_feet,numeric,segment,12393,247,0.0,0.0,0.044135493560634134,0.052602830839271614,,,ok
SMALL_MULTI,2023Q3,property_segment,categorical,segment,12393,247,0.0,0.0,,,0.0,0.0,ok
SMALL_MULTI,2023Q3,year_built,numeric,segment,12393,247,0.0,0.0,0.032448690588028906,0.07251056901326369,,,ok
SMALL_MULTI,2023Q4,borough,numeric,segment,12393,496,0.0,0.0,0.0018312659246951712,0.011124581254246035,,,ok
SMALL_MULTI,2023Q4,building_class,categorical,segment,12393,496,0.0,0.0,,,0.07981385173211723,0.0,ok
SMALL_MULTI,2023Q4,distance_to_center_km,numeric,segment,12393,496,0.0,0.0,0.022022136600857483,0.048715390842384965,,,ok
SMALL_MULTI,2023Q4,gross_square_feet,numeric,segment,12393,496,0.0,0.0,0.013697780223966007,0.04564849303587093,,,ok
SMALL_MULTI,2023Q4,h3_price_lag,numeric,segment,12393,496,0.0,0.0,0.04659102622196039,0.043746079342396715,,,ok
SMALL_MULTI,2023Q4,property_segment,categorical,segment,12393,496,0.0,0.0,,,0.0,0.0,ok
SMALL_MULTI,2023Q4,year_built,numeric,segment,12393,496,0.0,0.0,0.06065256780379394,0.06046792804470791,,,ok
SMALL_MULTI,2024Q1,borough,numeric,segment,12393,485,0.0,0.0,0.019292088645107168,0.046388341938956246,,,ok
SMALL_MULTI,2024Q1,building_class,categorical,segment,12393,485,0.0,0.0,,,0.035546005768138156,0.0,ok
SMALL_MULTI,2024Q1,gross_square_feet,numeric,segment,12393,485,0.0,0.0,0.009360646540856013,0.04926525699160067,,,ok
SMALL_MULTI,2024Q1,h3_price_lag,numeric,segment,12393,485,0.0,0.0,0.07759673552650383,0.07695631305001743,,,ok
SMALL_MULTI,2024Q1,property_segment,categorical,segment,12393,485,0.0,0.0,,,0.0,0.0,ok
SMALL_MULTI,2024Q2,borough,numeric,segment,12393,590,0.0,0.0,0.005658303198534405,0.03981512253363367,,,ok
SMALL_MULTI,2024Q2,building_age,numeric,segment,12393,590,0.0,0.0,0.08932789390899035,0.09774230121706212,,,ok
SMALL_MULTI,2024Q2,building_class,categorical,segment,12393,590,0.0,0.0,,,0.02642661863517812,0.0,ok
SMALL_MULTI,2024Q2,distance_to_center_km,numeric,segment,12393,590,0.0,0.0,0.05318030670621088,0.06689287418950285,,,ok
SMALL_MULTI,2024Q2,gross_square_feet,numeric,segment,12393,590,0.0,0.0,0.033466883384689096,0.0502145142077198,,,ok
SMALL_MULTI,2024Q2,h3_price_lag,numeric,segment,12393,590,0.0,0.0,0.029302712503162597,0.056779866162828374,,,ok
SMALL_MULTI,2024Q2,neighborhood,categorical,segment,12393,590,0.0,0.0,,,0.19710593869967608,0.001694915254237288,ok
